,bill_length,bill_depth,flipper_length,body_mass,species
0,39.1,18.7,181.0,3750.0,Adelie
1,39.5,17.4,?,3800.0,Adelie
2,40.3,18.0,195.0,?,Adelie
3,36.7,19.3,193.0,3450.0,Adelie
4,39.3,20.6,190.0,3650.0,Adelie
5,38.9,17.8,181.0,?,Adelie
6,39.2,?,195.0,4675.0,Adelie
7,?,17.6,182.0,3200.0,Adelie
8,38.6,21.2,191.0,3800.0,Adelie
9,34.6,21.1,198.0,4400.0,Adelie
10,?,?,185.0,3700.0,Adelie
11,?,19.0,?,3450.0,Adelie
12,42.5,?,?,4500.0,Adelie
13,?,18.4,?,3325.0,Adelie
14,?,21.5,194.0,4200.0,Adelie
15,37.8,18.3,174.0,?,Adelie
16,37.7,18.7,180.0,3600.0,Adelie
17,35.9,?,189.0,3800.0,Adelie
18,38.2,?,?,3950.0,Adelie
19,38.8,17.2,180.0,3800.0,Adelie
20,35.3,18.9,187.0,3800.0,Adelie
21,40.6,18.6,183.0,?,Adelie
22,40.5,?,187.0,3200.0,Adelie
23,?,18.6,172.0,3150.0,Adelie
24,40.5,18.9,?,3950.0,Adelie
25,39.5,16.7,178.0,3250.0,Adelie
26,37.2,18.1,178.0,3900.0,Adelie
27,?,17.8,188.0,3300.0,Adelie
28,?,18.9,184.0,3900.0,Adelie
29,?,17.0,195.0,3325.0,Adelie
30,39.2,21.1,196.0,4150.0,Adelie
31,38.8,20.0,190.0,3950.0,Adelie
32,42.2,18.5,180.0,3550.0,Adelie
33,?,19.3,181.0,?,Adelie
34,39.8,19.1,184.0,4650.0,Adelie
35,36.5,18.0,?,3150.0,Adelie
36,?,?,?,3900.0,Adelie
37,36.0,?,186.0,3100.0,Adelie
38,44.1,19.7,196.0,4400.0,Adelie
39,37.0,?,?,3000.0,Adelie
40,?,18.8,190.0,4600.0,Adelie
41,41.1,19.0,182.0,3425.0,Adelie
42,36.0,17.9,190.0,?,Adelie
43,42.3,21.2,191.0,4150.0,Adelie
44,39.6,17.7,186.0,?,Adelie
45,40.1,18.9,188.0,4300.0,Adelie
46,35.0,17.9,190.0,?,Adelie
47,?,19.5,?,4050.0,Adelie
48,34.5,18.1,187.0,2900.0,Adelie
49,41.4,?,191.0,3700.0,Adelie
50,39.0,17.5,186.0,?,Adelie
51,40.6,18.8,193.0,3800.0,Adelie
52,36.5,16.6,?,?,Adelie
53,37.6,19.1,194.0,3750.0,Adelie
54,35.7,16.9,185.0,3150.0,Adelie
55,?,?,195.0,?,Adelie
56,37.6,17.0,185.0,?,Adelie
57,?,18.2,192.0,?,Adelie
58,36.4,17.1,184.0,2850.0,Adelie
59,41.6,?,192.0,3950.0,Adelie
60,?,16.2,195.0,3350.0,Adelie
61,41.1,19.1,188.0,4100.0,Adelie
62,?,16.6,190.0,3050.0,Adelie
63,41.8,19.4,198.0,4450.0,Adelie
64,?,19.0,190.0,3600.0,Adelie
65,39.7,18.4,190.0,3900.0,Adelie
66,39.6,?,?,3550.0,Adelie
67,45.8,?,197.0,4150.0,Adelie
68,35.5,17.5,190.0,3700.0,Adelie
69,42.8,18.5,195.0,4250.0,Adelie
70,40.9,16.8,191.0,3700.0,Adelie
71,37.2,19.4,184.0,3900.0,Adelie
72,36.2,16.1,187.0,3550.0,Adelie
73,42.1,19.1,?,4000.0,Adelie
74,34.6,17.2,189.0,3200.0,Adelie
75,?,17.6,196.0,?,Adelie
76,?,18.8,187.0,3800.0,Adelie
77,35.1,19.4,193.0,4200.0,Adelie
78,37.3,17.8,191.0,3350.0,Adelie
79,41.3,20.3,194.0,3550.0,Adelie
80,36.3,19.5,190.0,3800.0,Adelie
81,?,18.6,189.0,3500.0,Adelie
82,38.3,19.2,?,3950.0,Adelie
83,38.9,18.8,?,3600.0,Adelie
84,35.7,18.0,?,3550.0,Adelie
85,41.1,18.1,205.0,4300.0,Adelie
86,34.0,17.1,185.0,3400.0,Adelie
